event_id,resolved_family,independence_cluster_id,title,slug,semantic_end_utc,asof_state,jurisdiction,primary_source_route,linked_asset,linked_asset_mapping_state,linked_asset_mapping_basis,revelation_state,revelation_precision,public_revelation_utc,safe_cutoff_utc,revelation_source_type,revelation_source_url,revelation_response_sha256,resolution_state,resolution_source_type,resolution_source_url,resolution_response_sha256,resolution_ambiguous,asset_data_state,asset_data_first_date,asset_data_last_date,asset_data_rows,asset_data_response_sha256,mandatory_account_gated_dependency,mandatory_field_state,adjudication_notes,gamma_state,nested_market_count,pm_condition_ids,pm_token_ids,tokens_with_price_history,tokens_unresolved,pm_earliest_verified_history_utc,pm_latest_verified_history_utc,pm_platform_collection_state,linked_asset_mapping_source_url,safe_cutoff_state,pm_mapping_state,pm_mapping_conflict,layer_a_mapping_missing,pm_pre_cutoff_state,pm_24h_state,history_state,pre_cutoff_history_hours_lower_bound,f2_state,pm_price_witness_pre_cutoff,pm_price_witness_24h,pm_price_witness_pre_cutoff_utc,pm_price_witness_minus_24h_or_earlier_utc,f2_event_pass,pit_event_eligible_state,pit_event_eligible,network_unresolved_components
219986,EARNINGS_EPS,69a84a816e323923cc0ea786,Will GoPro (GPRO) beat quarterly earnings?,gpro-quarterly-earnings-nongaap-eps-03-05-2026-0pt04,2026-03-05T22:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,GPRO,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/1500435/000150043526000003/gpro2025-12x31ex991xer.htm,758489fe9c52dd922054c6c42d99e5aa9934117927e1af4a0818cd377fef14c7,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/1500435/000150043526000003/gpro2025-12x31ex991xer.htm,758489fe9c52dd922054c6c42d99e5aa9934117927e1af4a0818cd377fef14c7,false,PASS,2025-12-22,2026-04-10,75,f73036f3a4b045f01dfd5e2758d4a80c90fb00ba85107f0f356c31654dfffccf,false,PASS,SEC acceptance corroborated at 2026-03-05T21:02:18Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0xf30336690af57f64f7e87478c386a8006965f85e38bbb4af104b764150338b22,38803567097716142771174192247110322216790334390455897209513339451385763986670|5870992078853029144742931965475919889077655317559945416872688959385219181063,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
69094,EARNINGS_EPS,16056cf297b5ad9ebe959d00,Will Hyatt Hotels (H) beat quarterly earnings?,h-quarterly-earnings-nongaap-eps-11-06-2025-0pt49,2025-11-06T14:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,H,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/1468174/000146817425000108/q32025earningsrelease.htm,da16e5afdbd5a19710e969f13621bd78237901afeb167378dc7937f3b751c55e,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/1468174/000146817425000108/q32025earningsrelease.htm,da16e5afdbd5a19710e969f13621bd78237901afeb167378dc7937f3b751c55e,false,PASS,2025-08-25,2025-12-11,77,3bdf7914b68203c50d2b6e568401168129952ddd50a8c99773a09ac7c69c850f,false,PASS,SEC acceptance corroborated at 2025-11-06T11:58:09Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0x615a2a38e8d86cf7cfae2613359f15201f8533506004415d27825de9d99923b3,64731858116237959203194310535102435666314786719050436528457503195937395893091|92860897731459924630024438290059902452051793561763477561867642780934732533483,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
428546,EARNINGS_EPS,c155ff20af53f6a94e2ae548,Will Circle Internet (CRCL) beat quarterly earnings?,crcl-quarterly-earnings-gaap-eps-05-11-2026-0pt18,2026-05-11T13:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,CRCL,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/1876042/000187604226000148/0001876042-26-000148.txt,67b129760f5ddc70f299281cb5b0c885b2ef8333874f7b52f14c98098ff38d3f,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/1876042/000187604226000148/0001876042-26-000148.txt,67b129760f5ddc70f299281cb5b0c885b2ef8333874f7b52f14c98098ff38d3f,false,PASS,2026-02-25,2026-06-15,77,fc8a0d5882b089070ad9e4b0f13636039bd116fd5cc2de4f6e0dfbd22518a9d3,false,PASS,SEC acceptance corroborated at 2026-05-11T10:27:16Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0x3f9b435ef787a1e2ac26c410668b29a4aecbc68a348b56ae4e152284e1bf4348,9524085053035923006369501419495078173118270368277391328990642551723846436093|96120978057030622063598214332848196653944851663304488391480949108663690508582,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
87221,EARNINGS_EPS,8c24f167252516643ac23aee,Will Asana (ASAN) beat quarterly earnings?,asan-quarterly-earnings-nongaap-eps-12-02-2025-0pt06,2025-12-02T22:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,ASAN,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/1477720/000147772025000235/asana8-kex991q3fy26.htm,76622a973d3216b1cd6f7baa9ac1e39243bb358f8d5f03f47c1b6dafb5e8bd49,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/1477720/000147772025000235/asana8-kex991q3fy26.htm,76622a973d3216b1cd6f7baa9ac1e39243bb358f8d5f03f47c1b6dafb5e8bd49,false,PASS,2025-09-18,2026-01-07,77,2c2ecbae9a730ee385ad591dc73752ac643b3409bd5bc3df92bc45db0f177020,false,PASS,SEC acceptance corroborated at 2025-12-02T21:06:16Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0xa20cdd3bd8f1f51c4adafadd3882bb0bc143e684942e0b6199208cb0dce8a8d9,113030002990037083919926232602294538699272161927747973188242642883244538702851|51241224332966857408860479947825751336342850951320636701628549190014998309958,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
179864,EARNINGS_EPS,cbf1f7bcfaff2fb1cb0cc47b,Will Ford Motor (F) beat quarterly earnings?,f-quarterly-earnings-nongaap-eps-02-04-2026-0pt18,2026-02-10T22:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,F,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/37996/000003799626000014/exhibit99tofebruary10202.htm,125b6bd8f60f0ec04702cc400aa62e3f62250c4a255d938aa502b944c5b757fb,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/37996/000003799626000014/exhibit99tofebruary10202.htm,125b6bd8f60f0ec04702cc400aa62e3f62250c4a255d938aa502b944c5b757fb,false,PASS,2025-11-28,2026-03-18,75,a1f27ce1866f1008810ab653bd4704b434ab4819467091b8d61677d2c07541da,false,PASS,SEC acceptance corroborated at 2026-02-10T16:08:19Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0xafb23268a1782cd0eb4c5d43e400f78a39030c7cf708c060a258f2334b3f9d77,35382845073974328147565314769549690056208862145322670294408453474329463835648|74551600767062947222291891614408884465454226500838360341456146362778851766173,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
358470,EARNINGS_EPS,b1b3cc0774fe279b27f78c73,Will IMAX (IMAX) beat quarterly earnings?,imax-quarterly-earnings-nongaap-eps-04-22-2026-0pt19,2026-04-30T21:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,IMAX,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/921582/000162828026028907/0001628280-26-028907.txt,0141925122705cafc95444350ab14076cbfab09ee4fbe8504c32473df98b455c,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/921582/000162828026028907/0001628280-26-028907.txt,0141925122705cafc95444350ab14076cbfab09ee4fbe8504c32473df98b455c,false,PASS,2026-02-17,2026-06-05,77,93f2f7dfab676a329139c05f1bc74953a1a5e9e9b4e8bac0b834fbcaea2dd20b,false,PASS,SEC acceptance corroborated at 2026-04-30T20:16:01Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0x9d5751efa34a643e5c37fc5b9d8349592d6abb283bcab8bf315eee02e2774ebb,23323855346958111307439001094439832545588549351125069320470361808303057689432|84283309723193403601434702861351628781561809944891827169190618821471883919642,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
572856,EARNINGS_EPS,069410fb87e36d4b1e95ed51,Will Carnival (CCL) beat quarterly earnings?,ccl-quarterly-earnings-nongaap-eps-06-22-2026-0pt34,2026-06-22T13:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,CCL,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/815097/000081509726000086/a20262qearningsrelease8-k.htm,4a879bf1879e74581df7f112c15e33a92b3345a7c417efe2bf2647effe5743fb,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/815097/000081509726000086/a20262qearningsrelease8-k.htm,4a879bf1879e74581df7f112c15e33a92b3345a7c417efe2bf2647effe5743fb,false,PASS,2026-04-08,2026-07-27,76,f78b4ada0ce46801cbb9cc5fff3c7a2162a2a31940b9b63b22323eaec613745d,false,PASS,SEC acceptance corroborated at 2026-06-23T13:16:37Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0x54487fd78889f128397ba012a21020d7a46d73168d8ae278fb21c8ff2f9023ab,15389680440673531101974136834103982007917329951219027499272709077360538518852|38414716527078240287701950568831385192373645451772962922852668653967032361656,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
715656,EARNINGS_EPS,1c4fcde0f549da3fc23fd2d1,Will Integra Lifesciences (IART) beat quarterly earnings?,iart-quarterly-earnings-nongaap-eps-07-29-2026-0pt48,2026-07-29T13:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,IART,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/917520/000091752026000055/ex991-q22026earningsrelease.htm,cbaaf9f2e5dcb63dc7c7e891bea23f167b5c6fdaf3007f6705d0f4d750210272,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/917520/000091752026000055/ex991-q22026earningsrelease.htm,cbaaf9f2e5dcb63dc7c7e891bea23f167b5c6fdaf3007f6705d0f4d750210272,false,PASS,2026-05-15,2026-08-12,61,8f271e349b6f01578b1669a64181e4faa26d1207da564c1f3bdc8e1260b9e3e8,false,PASS,SEC acceptance corroborated at 2026-07-29T10:15:13Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0x105f7e63b07c079be5e52a3c15ba8ce15022c45b189ea9a54d23c31bd972eb1f,18150975493695232359558019794384083281889095728683283101953737008354767621114|6770057802130727512814080368355292490852375832082532835888891584387601610133,2,0,2026-07-18T20:30:07Z,2026-07-29T12:00:49Z,PASS_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,,UNRESOLVED,,,,,,UNRESOLVED,false,pm_pre_cutoff_state|pm_24h_state|history_state|f2_state|revelation_state|safe_cutoff_state
559487,EARNINGS_EPS,5ceed5c319b44a8d03a48e6c,Will Kroger (KR) beat quarterly earnings?,kr-quarterly-earnings-nongaap-eps-06-18-2026-1pt58,2026-06-18T13:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,KR,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/56873/000110465926075395/tm2618219d1_ex99-1.htm,6133843a7e061feb74a48a231db48d1d8eefac5621b5fceb98a4054d16e482d9,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/56873/000110465926075395/tm2618219d1_ex99-1.htm,6133843a7e061feb74a48a231db48d1d8eefac5621b5fceb98a4054d16e482d9,false,PASS,2026-04-06,2026-07-23,76,0c941e09b641e096a2bc5c36ad7ee6bc2dc3cde702e761f370b052b63f25adb5,false,PASS,SEC acceptance corroborated at 2026-06-18T10:52:56Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0x7a2bde1f360189caa1ea1f199ffad7be798f335c9dfbe7b9d2bc65b8a126b6d0,87282808270713002981392424045318527169309022140809545276291180814642371263977|9317780758867115426391375962559682167733174517340671165049348767024643005761,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
62711,EARNINGS_EPS,13fac72007c648b945051892,Will BGC Group (BGC) beat quarterly earnings?,bgc-quarterly-earnings-nongaap-eps-11-06-2025-0pt28,2025-11-06T14:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,BGC,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/1094831/000162828025049883/bgc-2025930xexx991.htm,7e6e9d11c8c8ccf96df3486d26b25b3f5ab1e5eae52393feccab417a612df8d1,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/1094831/000162828025049883/bgc-2025930xexx991.htm,7e6e9d11c8c8ccf96df3486d26b25b3f5ab1e5eae52393feccab417a612df8d1,false,PASS,2025-08-25,2025-12-11,77,8057900e7afa1a1af71a58ced2daec938445671c3bb30a7d887b63341d0e0cf5,false,PASS,SEC acceptance corroborated at 2025-11-06T13:06:16Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0xe724500a327bd2b511a0f819931b274d9df550a16fab238e28a01704bed48374,22257046603311732549024757492359200390190273875680885475613932645230141629963|54798924035317851059504949978681071685000783393648087542078264533821333490110,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
60662,EARNINGS_EPS,d199c8b4d64ca6f7d2da7333,Will Coursera (COUR) beat quarterly earnings?,cour-quarterly-earnings-nongaap-eps-10-23-2025-0pt08,2025-10-23T21:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,COUR,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/1651562/000165156225000056/cour-20250930xexx991.htm,21c9689a773e6086bdeff27b295d7b45615a622d47e019220320bdab2fe16a64,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/1651562/000165156225000056/cour-20250930xexx991.htm,21c9689a773e6086bdeff27b295d7b45615a622d47e019220320bdab2fe16a64,false,PASS,2025-08-11,2025-11-28,78,633eaca33db3533194b7360b362f55e2c244361de1d06b2ce442be53e7ea8e4b,false,PASS,SEC acceptance corroborated at 2025-10-23T20:15:26Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0x66cb0f5cbfbb888eec1963fd9d8304f6792e27e078fd25d842d32b205e80f89a,36738440831482532074925499073092128287083095066843373365723561723832150028490|57871045156873474733427214491167602494784530210281492017475693155367774477126,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
686409,EARNINGS_EPS,0f8d5780614937f24f5a34bc,Will Tractor Supply (TSCO) beat quarterly earnings?,tsco-quarterly-earnings-gaap-eps-07-23-2026-0pt85,2026-07-23T13:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,TSCO,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/916365/000091636526000052/ex991-q22026earningsrelease.htm,13be782ff8219f580f8f6747aee1445bdf6750295e89bcc665c07f3b1b811993,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/916365/000091636526000052/ex991-q22026earningsrelease.htm,13be782ff8219f580f8f6747aee1445bdf6750295e89bcc665c07f3b1b811993,false,PASS,2026-05-11,2026-08-12,65,02e4f06582b758a01a3090e3e0729f0eb11c670ae3e0e2a2cf90fd5d64ce62f9,false,PASS,SEC acceptance corroborated at 2026-07-23T11:03:12Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0x39ccc23a7ec7d240d5f1c9af5ce0cec6555644b2a39d3c59fcc7e0ff4db1ae15,48779727045140645872835417999643829345120093855979537784439254482868856523494|55116703549039784243657174510423020916201333175340579237127625831355775049204,2,0,2026-07-12T20:20:03Z,2026-07-23T13:00:15Z,PASS_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,,UNRESOLVED,,,,,,UNRESOLVED,false,pm_pre_cutoff_state|pm_24h_state|history_state|f2_state|revelation_state|safe_cutoff_state
199211,EARNINGS_EPS,75dccde4ffdd1166fa1b9499,Will Amplitude (AMPL) beat quarterly earnings?,ampl-quarterly-earnings-nongaap-eps-02-18-2026-0pt05,2026-02-18T22:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,AMPL,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/1866692/000119312526057052/ampl-ex99_1.htm,4dc15f66337329aded449dc973feeb077fa89529cfacce49a75b12cd455f5b0e,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/1866692/000119312526057052/ampl-ex99_1.htm,4dc15f66337329aded449dc973feeb077fa89529cfacce49a75b12cd455f5b0e,false,PASS,2025-12-05,2026-03-26,76,f7e72385ca44b4e52fdecc6834a6ea037f147468cbd52b870febf3363dfb8466,false,PASS,SEC acceptance corroborated at 2026-02-18T21:11:03Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0x4a20448e4cb273e274fb12b15e75f15bc2bf84cede380b0ccc658e2e71c9d271,34035447928962631479663441647974902138629143895605387434760592649754165487005|56776121629020412544444303885588724059708753579738399125412076663279996551400,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
242205,EARNINGS_EPS,fcd47fbb6331bff4cd096007,Will DocuSign (DOCU) beat quarterly earnings?,docu-quarterly-earnings-nongaap-eps-03-17-2026-0pt95,2026-03-17T21:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,DOCU,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,,,,,,,UNRESOLVED,,,,false,PASS,2026-01-02,2026-04-22,76,ad5d714079888a2df5cbe0d4ef187d5dc15f4ee910aa71ad3fe69853591515e0,false,PASS,SEC candidate found but metric/period/value evidence did not clear frozen objective checks.,PASS,1,0xd7c275ba6e0ec876a20db252e1d9f41e164376835e3573e7965c09a257fcb4c0,41493427808735939563732272874313121148571906576667998800283964590915605239102|7644792066892953394700815353678293108082176145755075857914576588922535126567,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|resolution_state|safe_cutoff_state
53162,EARNINGS_EPS,c6ee886403e208e00e35c9ae,Will Nurix Therapeutics (NRIX) beat quarterly earnings?,nrix-quarterly-earnings-gaap-eps-2025-10-9-neg0pt85,2025-10-09T00:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,NRIX,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/1549595/000154959525000113/nrix-20250831.htm,bd7e810907f17d4e36adf54e66897e4a80edf9bfba354629912d39af2d96d73d,PASS,SEC_EDGAR_10-Q,https://www.sec.gov/Archives/edgar/data/1549595/000154959525000113/nrix-20250831.htm,bd7e810907f17d4e36adf54e66897e4a80edf9bfba354629912d39af2d96d73d,false,PASS,2025-07-28,2025-11-13,78,e622cd175ea6d1dcbec7ff8f59e88b928e6b44585f65b7282b792fd9fea896bc,false,PASS,SEC acceptance corroborated at 2025-10-09T20:04:18Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0xcceacf84e616fdd9bd7fffc339e4deb267c41c7e817c78723e62bd814358eeed,75449248108081447291629112992085737919153726875924456218383082152480743168848|89180819592312179567354452226305568030422120425974318359373816604228079744548,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|safe_cutoff_state
708245,EARNINGS_EPS,d9278dbf9bbecc204c6e048d,Will Caesars Entertainment (CZR) beat quarterly earnings?,czr-quarterly-earnings-gaap-eps-07-28-2026-0pt05,2026-07-28T21:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,CZR,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/1590895/000159089526000027/ex991-2026q2ceiearningsrel.htm,206f39ec08ff1ed693e6567af484d91b3af9e5d48c835ad35deaf95256183156,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/1590895/000159089526000027/ex991-2026q2ceiearningsrel.htm,206f39ec08ff1ed693e6567af484d91b3af9e5d48c835ad35deaf95256183156,false,PASS,2026-05-14,2026-08-12,62,208502f1326ba394ea06b79969330ce701cbb277f6150eceee6e7842b707dd69,false,PASS,SEC acceptance corroborated at 2026-07-28T20:11:18Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0x13805b2ba317a2c26ff596bb59534c23c4808fd26eac9be6f847977b92fd6bf3,19028458811341172734683037498839507717671383216629677083105775935932932029777|9825579902639874055153659171549110933134237392703741050588043578397877575974,2,0,2026-07-16T01:10:05Z,2026-07-28T22:10:21Z,PASS_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,,UNRESOLVED,,,,,,UNRESOLVED,false,pm_pre_cutoff_state|pm_24h_state|history_state|f2_state|revelation_state|safe_cutoff_state
686396,EARNINGS_EPS,fd217ee3150c4fbe55d11d3d,Will United Bankshares (UBSI) beat quarterly earnings?,ubsi-quarterly-earnings-gaap-eps-07-23-2026-0pt89,2026-07-23T13:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,UBSI,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,UNRESOLVED,,,SEC_ACCEPTANCE_CORROBORATION_ONLY,https://www.sec.gov/Archives/edgar/data/729986/000119312526313364/d139267dex991.htm,087a16580083837ace8a1a59ca2001b3a5f4c840d17cb9f2dc8e1ef3691f6816,PASS,SEC_EDGAR_8-K,https://www.sec.gov/Archives/edgar/data/729986/000119312526313364/d139267dex991.htm,087a16580083837ace8a1a59ca2001b3a5f4c840d17cb9f2dc8e1ef3691f6816,false,PASS,2026-05-11,2026-08-12,65,88537256a7b073cbe808a933a609865da4608a03fb75dcaafa48b4fb1ba86a7a,false,PASS,SEC acceptance corroborated at 2026-07-23T12:00:07Z; earlier issuer-IR timestamp not independently resolved.,PASS,1,0xeecec90bfe0c89db437fdfdabbb6c7920fcc7454262213c9656a0bcb82eca43c,107105472733233780709143240680384756761344766424061745727899556057306718865715|56035319713350303195452077580753388436975113649725922400220735648251702803662,2,0,2026-07-12T20:20:04Z,2026-07-23T13:50:06Z,PASS_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,,UNRESOLVED,,,,,,UNRESOLVED,false,pm_pre_cutoff_state|pm_24h_state|history_state|f2_state|revelation_state|safe_cutoff_state
192042,EARNINGS_EPS,23d0150e4941c38ce10f4738,Will McDonald's (MCD) beat quarterly earnings?,mcd-quarterly-earnings-nongaap-eps-02-11-2026-3pt04,2026-02-11T22:00:00Z,DUE_ASOF,UNITED_STATES,ISSUER_IR_AND_SEC_EDGAR,MCD,PASS,EXACT_SEC_TICKER_TO_CIK,UNRESOLVED,,,,,,,UNRESOLVED,,,,false,PASS,2025-11-28,2026-03-19,76,5d5fb71405841891e4b255893349d5a5abcd842abed5ac913ab272245d66702a,false,PASS,SEC candidate found but metric/period/value evidence did not clear frozen objective checks.,PASS,1,0x82b9d301e0acf4b0da7a06e568e30d8a583a42c2c285e03ada358f9b72bf0bfa,86936074980255290942792920782263260340262998930489130371912125412326661297140|9032212935946752888502268962938764548287850607698993098791208818863909378425,0,0,,,NO_PRICE_HISTORY_OBSERVED,https://www.sec.gov/files/company_tickers.json,UNRESOLVED,PASS,false,false,FAIL,FAIL,FAIL,,FAIL,false,false,,,false,FAIL,false,revelation_state|resolution_state|safe_cutoff_state
